REGISTRO AUTOMÁTICO DE PYTEST

Inicio UTC: 2026-09-26T15:03:36.910448+00:00
Python: 3.13.13 | pytest: 8.3.3
Argumentos: -q tests/test_api.py --basetemp=C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.pytest_tmp_a9f0512ac9e545be9e3a20ebfa3775c9
Código de salida: 0
Resultado: CORRECTO
Resumen: 22 passed, 1 warnings
Duración registrada: 5.381 segundos

DETALLE POR FASE

tests/test_api.py::test_modelo_carga_una_vez | teardown | passed | 0.0004 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | setup | passed | 0.0066 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | call | passed | 0.0213 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | teardown | passed | 0.0003 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | setup | passed | 0.0021 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | call | passed | 0.0216 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | teardown | passed | 0.0004 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | setup | passed | 0.0022 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | call | passed | 0.0155 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | teardown | passed | 0.0003 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | setup | passed | 0.0025 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | call | passed | 0.0253 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | teardown | passed | 0.0014 s
tests/test_api.py::test_docs_y_contrato_lote | setup | passed | 0.0546 s
tests/test_api.py::test_docs_y_contrato_lote | call | passed | 0.0104 s
tests/test_api.py::test_docs_y_contrato_lote | teardown | passed | 0.0029 s

AVISOS
C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.venv\Lib\site-packages\starlette\testclient.py:40: DeprecationWarning: The anyio.abc.BlockingPortal alias is deprecated, use anyio.from_thread.BlockingPortal instead.
  _PortalFactoryType = typing.Callable[[], typing.ContextManager[anyio.abc.BlockingPortal]]

