REGISTRO AUTOMÁTICO DE PYTEST

Inicio UTC: 2026-09-26T15:05:51.979505+00:00
Python: 3.13.13 | pytest: 8.3.3
Argumentos: -q tests/test_api.py --basetemp=C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.pytest_tmp_509b8fabf31343afa1cd5da96eade206
Código de salida: 0
Resultado: CORRECTO
Resumen: 22 passed, 1 warnings
Duración registrada: 6.345 segundos

DETALLE POR FASE

tests/test_api.py::test_codigos_normalizados | teardown | passed | 0.0025 s
tests/test_api.py::test_fallo_modelo_500 | setup | passed | 0.0516 s
tests/test_api.py::test_fallo_modelo_500 | call | passed | 0.0096 s
tests/test_api.py::test_fallo_modelo_500 | teardown | passed | 0.0030 s
tests/test_api.py::test_modelo_carga_una_vez | setup | passed | 0.0006 s
tests/test_api.py::test_modelo_carga_una_vez | call | passed | 0.2234 s
tests/test_api.py::test_modelo_carga_una_vez | teardown | passed | 0.0002 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | setup | passed | 0.0042 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | call | passed | 0.0250 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[ausente] | teardown | passed | 0.0002 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | setup | passed | 0.0022 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | call | passed | 0.0144 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[features] | teardown | passed | 0.0002 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | setup | passed | 0.0020 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | call | passed | 0.0199 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[sklearn] | teardown | passed | 0.0002 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | setup | passed | 0.0020 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | call | passed | 0.0159 s
tests/test_api.py::test_arranque_incompatible_no_publica_modelo[hash] | teardown | passed | 0.0002 s
tests/test_api.py::test_docs_y_contrato_lote | setup | passed | 0.0537 s
tests/test_api.py::test_docs_y_contrato_lote | call | passed | 0.0145 s
tests/test_api.py::test_docs_y_contrato_lote | teardown | passed | 0.0023 s

AVISOS
C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.venv\Lib\site-packages\starlette\testclient.py:40: DeprecationWarning: The anyio.abc.BlockingPortal alias is deprecated, use anyio.from_thread.BlockingPortal instead.
  _PortalFactoryType = typing.Callable[[], typing.ContextManager[anyio.abc.BlockingPortal]]

