AIRLINE,vuelos,tasa_atraso
AA,984,0.17784552845528456
AS,253,0.13438735177865613
B6,344,0.18895348837209303
DL,1265,0.13754940711462452
EV,767,0.2046936114732725
F9,122,0.2459016393442623
HA,89,0.1348314606741573
MQ,409,0.2591687041564792
NK,174,0.3160919540229885
OO,799,0.17897371714643304
UA,727,0.21458046767537828
US,277,0.19133574007220217
VX,92,0.22826086956521738
WN,1698,0.18374558303886926
