MONTH,vuelos,tasa_atraso
1,633,0.21169036334913113
2,629,0.24483306836248012
3,653,0.19754977029096477
4,685,0.14452554744525548
5,659,0.18512898330804248
6,711,0.25738396624472576
7,715,0.1944055944055944
8,711,0.21518987341772153
9,685,0.12846715328467154
10,682,0.12609970674486803
11,625,0.1408
12,612,0.19281045751633988
