,DISTANCE,SCHEDULED_TIME,SCHEDULED_DEPARTURE_MIN,ARRIVAL_DELAY_15
DISTANCE,1.0,0.9848268681755348,0.003951521139454165,0.007747010125964522
SCHEDULED_TIME,0.9848268681755348,1.0,-0.003562678744183891,0.008994606892194107
SCHEDULED_DEPARTURE_MIN,0.003951521139454165,-0.003562678744183891,1.0,0.11749508710750588
ARRIVAL_DELAY_15,0.007747010125964522,0.008994606892194107,0.11749508710750588,1.0
