REGISTRO AUTOMÁTICO DE PYTEST

Inicio UTC: 2026-09-26T15:22:12.778956+00:00
Python: 3.13.13 | pytest: 8.3.3
Argumentos: -q tests/test_api.py --basetemp=C:\Users\sanbo\Desktop\Cloud Computing\Tarea CC\CC_MDS_G7_FLT\.pytest_tmp_97f2d7f78a8b452fa213999d411630b3
Código de salida: 0
Resultado: CORRECTO
Resumen: 22 passed, 1 warnings
Duración registrada: 6.484 segundos

DETALLE POR FASE

tests/test_api.py::test_entrada_invalida_422[cambios5] | teardown | passed | 0.0031 s
tests/test_api.py::test_entrada_invalida_422[cambios6] | setup | passed | 0.0518 s
tests/test_api.py::test_entrada_invalida_422[cambios6] | call | passed | 0.0015 s
tests/test_api.py::test_entrada_invalida_422[cambios6] | teardown | passed | 0.0043 s
tests/test_api.py::test_campo_faltante_422 | setup | passed | 0.0512 s
tests/test_api.py::test_campo_faltante_422 | call | passed | 0.0023 s
tests/test_api.py::test_campo_faltante_422 | teardown | passed | 0.0028 s
tests/test_api.py::test_formato_lote_422[lote0] | setup | passed | 0.0494 s
tests/test_api.py::test_formato_lote_422[lote0] | call | passed | 0.0033 s
tests/test_api.py::test_formato_lote_422[lote0] | teardown | passed | 0.0035 s
tests/test_api.py::test_formato_lote_422[lote1] | setup | passed | 0.0526 s
tests/test_api.py::test_formato_lote_422[lote1] | call | passed | 0.0022 s
tests/test_api.py::test_formato_lote_422[lote1] | teardown | passed | 0.0021 s
tests/test_api.py::test_formato_lote_422[lote2] | setup | passed | 0.0503 s
tests/test_api.py::test_formato_lote_422[lote2] | call | passed | 0.1314 s
tests/test_api.py::test_formato_lote_422[lote2] | teardown | passed | 0.0032 s
tests/test_api.py::test_codigos_normalizados | setup | passed | 0.0502 s
tests/test_api.py::test_codigos_normalizados | call | passed | 0.4389 s
tests/test_api.py::test_codigos_normalizados | teardown | passed | 0.0044 s
tests/test_api.py::test_fallo_modelo_500 | setup | passed | 0.0508 s
tests/test_api.py::test_fallo_modelo_500 | call | passed | 0.0205 s
tests/test_api.py::test_fallo_modelo_500 | teardown | passed | 0.0027 s
tests/test_api.py::test_modelo_carga_una_vez | setup | passed | 0.0001 s
tests/test_api.py::test_modelo_carga_una_vez | call | passed | 0.2295 s
