,precision,recall,f1-score,support
0,0.6986434108527132,0.5805152979066023,0.6341248900615655,2484.0
1,0.4617768595041322,0.5897097625329816,0.5179606025492468,1516.0
accuracy,0.584,0.584,0.584,0.584
macro avg,0.5802101351784227,0.5851125302197919,0.5760427463054061,4000.0
weighted avg,0.608870987891601,0.584,0.5900986250943967,4000.0
